,date,DJI,A2C,DDPG,PPO,SAC,TD3
18,2022-07-28,1046061.0068072089,1030715.9887296068,1040222.3812504121,1008289.7580153052,1046308.0886028748,1048076.7094701005
19,2022-07-29,1056206.5324661531,1047458.141039013,1045169.3367557832,1015897.7069747625,1052140.3502636834,1056587.3458378983
20,2022-08-01,1054703.8126412488,1046375.3621412507,1042049.2222233125,1015014.3217283979,1049725.2097721978,1053106.4502690507
21,2022-08-02,1041769.2801886622,1032304.4609076502,1023368.4138660737,1004034.2115466925,1040280.1016217155,1042963.6473439408
22,2022-08-03,1055157.2790433138,1032304.4609076502,1023368.4138660737,1004034.2115466925,1040280.1016217155,1042963.6473439408
23,2022-08-04,1052402.0624053932,1032316.7221214754,1022998.8288593597,1003980.6531541602,1039865.9296132545,1043026.746239586
24,2022-08-05,1054866.8595636534,1033394.5466106571,1024095.7455551453,1004119.9901116721,1040595.8349325063,1044448.8019669726
25,2022-08-08,1055801.6786673013,1034571.2226245692,1024643.1156811067,1004445.6142481163,1039977.663306301,1043362.4016221241
26,2022-08-09,1053932.4173018911,1028390.8353369563,1017563.4242382357,1004179.8728478248,1039643.6426009481,1040979.2234936908
27,2022-08-10,1071139.7714717754,1042762.7296622088,1031778.9741113054,1007029.2845848015,1057818.0439141653,1055128.063815804
28,2022-08-11,1072013.1653481072,1044646.2072899516,1030614.6614663469,1008708.5862424325,1059404.9385924796,1057832.39726841
29,2022-08-12,1085659.9917710295,1058230.782906132,1043811.4053513872,1011265.7969368066,1068228.261767353,1069199.5221101001
30,2022-08-15,1090528.2864741962,1063172.2165382388,1048661.9984948505,1012119.1057287758,1074427.6130392263,1077381.3042826657
31,2022-08-16,1098232.1907508303,1076007.4496873172,1058953.0383012164,1013947.3449199761,1078810.5101421315,1082779.3576884274
32,2022-08-17,1092711.0802882363,1070061.518162121,1054354.128503548,1012649.3264027184,1072040.3498517377,1078049.7520785336
33,2022-08-18,1093313.0223931381,1072369.3997324412,1053706.3707368243,1013140.6761620569,1075095.7585502698,1079577.2955126767
34,2022-08-19,1083913.455246289,1063763.6227971422,1046809.5734269487,1009702.5441542749,1061941.4505048636,1067323.5639376645
35,2022-08-22,1063232.2469630784,1043332.8639171298,1026805.308076607,1001247.924673211,1040699.4669804876,1047569.7776827816
36,2022-08-23,1058279.414063626,1040992.9624583247,1017577.7110252726,999824.6780489204,1041602.3597704313,1040998.336448193
37,2022-08-24,1060197.2880322493,1039550.5268911098,1020595.2786445963,1000601.5935655601,1047136.0416942061,1041244.8523783687
38,2022-08-25,1070569.609699207,1051506.6433215144,1026788.9659500468,1005591.2774727485,1059388.0727126119,1053323.8560481076
39,2022-08-26,1038142.9307257215,1018949.9217672846,996153.4929924357,986996.9615021293,1029062.5942234991,1015298.866576672
40,2022-08-29,1032212.8212035362,1016307.5419017146,989642.1965160716,983371.6416343086,1023897.553158283,1009197.558032513
41,2022-08-30,1022304.5175114343,1004252.1331531489,981635.5993576396,978008.5059116867,1014004.1418843267,1002895.8628230098
42,2022-08-31,1013286.377159563,995661.2699861682,971181.7877292979,974278.7313648879,1006126.0326504705,995882.5904536251
43,2022-09-01,1017981.0105605542,1000522.6661642935,978345.2995891917,978535.1680096823,1002890.9077343938,1002256.3428835872
44,2022-09-02,1007112.5137445227,1000522.6661642935,978345.2995891917,978535.1680096823,1002890.9077343938,1002256.3428835872
45,2022-09-06,1001544.8633090851,999853.7165332284,976604.8153671611,978435.2371182638,1001716.3676535011,1001438.0728549007
46,2022-09-07,1015564.7003915448,1002791.7704853769,983144.772717892,978880.6865208726,1007245.918143621,1005272.1530756953
47,2022-09-08,1021778.7602743584,1006012.1094626794,988566.0470962871,979220.5677426574,1013630.2473337132,1005653.515111828
48,2022-09-09,1033908.1700388468,1014940.332210459,999748.9930828061,979830.8477172229,1024562.2315500467,1015034.2523936273
49,2022-09-12,1041292.386782723,1019405.4203191933,1007440.1503306546,981262.6664016711,1035970.5392331026,1018458.3851878168
50,2022-09-13,1000247.9619605751,988311.8850000938,967671.435261025,976315.8777448261,997709.7971733644,982778.2336198083
51,2022-09-14,1001216.5084129636,991745.9844524103,969149.0354313473,977024.6149905574,1000361.493134363,987121.3472977869
52,2022-09-15,995644.6499098061,983222.7569540925,969484.8088819012,976124.1189503084,999904.7291802004,974649.9252091638
53,2022-09-16,991161.927262356,977697.9482793412,959183.9354917035,974962.2884536157,990953.4978912905,972804.6758652917
54,2022-09-19,997505.2439118524,983877.1087516065,966453.867780827,976700.7112687917,997883.8566425875,978627.8994828454
55,2022-09-20,987425.6027758676,971203.3814237065,959043.4910565838,975681.5234216962,988665.4850729425,970537.0328446619
56,2022-09-21,970625.049421243,950227.2383622327,941997.4702283368,971499.4149426883,970714.214614721,953430.9525223962
57,2022-09-22,967181.0286238419,948876.9136647115,933939.8324262127,969624.7654954456,965754.3948324639,951635.2200089685
58,2022-09-23,951543.9745903054,933351.6668483319,910155.2890836224,963930.314507683,945809.8725908715,936423.23183453
59,2022-09-26,940944.9825292962,921206.9605997758,898455.5946637616,960660.9273408988,932239.9660013635,928549.7974168054
60,2022-09-27,936898.9568200122,922556.9515116868,892997.6078244671,960419.2985646384,928636.0203436334,919347.3885422937
61,2022-09-28,954545.2061723936,934419.357344975,911121.6737195477,964148.969897175,945272.8789747674,930927.0442887536
62,2022-09-29,939813.0123126177,920003.8062800412,892623.0162793621,955959.0600368462,929753.9343450982,916147.0640946619
63,2022-09-30,923731.2220473606,904309.6865150495,875859.4757215008,948712.3354677317,916270.6418608148,894107.2612992517
64,2022-10-03,948343.7076857594,931995.1566199994,901591.9596692547,958178.005305649,941136.1216391046,918368.6880875818
65,2022-10-04,974887.1939517882,960903.3652952657,931269.1861554608,971001.3894834217,971209.543899389,939903.7894059411
66,2022-10-05,973522.0842220259,960903.3652952657,931269.1861554608,971001.3894834217,971209.543899389,939903.7894059411
67,2022-10-06,962365.8058195316,958519.8936330267,927960.5955010877,970781.2452327504,968306.0507874868,937332.4948033564
68,2022-10-07,942101.949924371,953038.994215672,917541.6140466199,970117.3782068256,957896.4907424126,930716.2741673699
69,2022-10-10,939082.1274759376,952792.1147078479,915501.656272839,969895.741263487,953399.6381324157,930051.9135615579
70,2022-10-11,940249.7092507837,953741.2840879406,919238.8375812039,969429.7361980458,949802.7685408688,931472.2865905039
71,2022-10-12,939338.379957991,953897.0885311398,918585.4273925595,969517.0858471278,948990.0785736733,930071.5649489634
72,2022-10-13,965960.3749501391,985878.177454144,943125.0381885342,972509.962086586,972284.167015522,953299.1968260614
73,2022-10-14,952972.3937568102,971166.5721918606,934640.2036968045,970513.2021300889,960618.2443051033,947061.6377392694
74,2022-10-17,970690.6827162788,989671.798289044,951756.4227329068,973168.9282941096,978686.7929005318,963672.4326157114
75,2022-10-18,981559.1795323103,1001529.9604437756,956948.5369964413,975045.7487473836,989145.1430878334,969038.1581680566
76,2022-10-19,978343.7761453685,996540.8741766667,954535.5593810849,975541.009997538,984232.3389973335,966724.6615424157
77,2022-10-20,975442.5332768657,994228.4328844304,952768.5157752804,974314.086537434,982538.7216992073,965306.2693553278
78,2022-10-21,999527.314661781,1018372.0505825887,973913.2763305478,980115.3103281542,1008539.4498219185,987415.5884631921
79,2022-10-24,1012938.7405203067,1030639.0577091527,987701.0788341336,982860.5572697436,1019781.6715855293,996745.5865711023
80,2022-10-25,1023779.6022647443,1041524.9396827321,995980.3381305508,985111.084310248,1033252.8260140114,1005893.9974902917
81,2022-10-26,1023855.7871325704,1052628.909036549,991172.19042738,984960.0600709786,1034880.4698300057,1007073.942924862
82,2022-10-27,1030099.7431382904,1056463.4664964604,996355.3357940487,985512.9091915708,1042462.3310742073,1017935.8625720788
